,log_file,log_id,meg_file,subject,task
94,sourcedata/meg_task/V1108-5-MEG-MOUS-Vis.log,5,sub-V1108/meg/sub-V1108_task-visual_meg.ds,1108,visual
95,sourcedata/meg_task/V1109-1-MEG-MOUS-Vis.log,1,sub-V1109/meg/sub-V1109_task-visual_meg.ds,1109,visual
96,sourcedata/meg_task/V1110-2-MEG-MOUS-Vis.log,2,sub-V1110/meg/sub-V1110_task-visual_meg.ds,1110,visual
97,sourcedata/meg_task/V1111-6-MEG-MOUS-Vis.log,6,sub-V1111/meg/sub-V1111_task-visual_meg.ds,1111,visual
98,sourcedata/meg_task/V1113-6-MEG-MOUS-Vis.log,6,sub-V1113/meg/sub-V1113_task-visual_meg.ds,1113,visual
99,sourcedata/meg_task/V1114-5-MEG-MOUS-Vis.log,5,sub-V1114/meg/sub-V1114_task-visual_meg.ds,1114,visual
100,sourcedata/meg_task/V1115-5-MEG-MOUS-Vis.log,5,sub-V1115/meg/sub-V1115_task-visual_meg.ds,1115,visual
101,sourcedata/meg_task/V1116-1-MEG-MOUS-Vis.log,1,sub-V1116/meg/sub-V1116_task-visual_meg.ds,1116,visual
102,sourcedata/meg_task/V1117-3-MEG-MOUS-Vis.log,3,sub-V1117/meg/sub-V1117_task-visual_meg.ds,1117,visual
103,sourcedata/meg_task/A2002-2-MEG-MOUS-Aud.log,2,sub-A2002/meg/sub-A2002_task-auditory_meg.ds,2002,auditory
104,sourcedata/meg_task/A2003-3-MEG-MOUS-Aud.log,3,sub-A2003/meg/sub-A2003_task-auditory_meg.ds,2003,auditory
105,sourcedata/meg_task/A2004-4-MEG-MOUS-Aud.log,4,sub-A2004/meg/sub-A2004_task-auditory_meg.ds,2004,auditory
106,sourcedata/meg_task/A2005-5-MEG-MOUS-Aud.log,5,sub-A2005/meg/sub-A2005_task-auditory_meg.ds,2005,auditory
107,sourcedata/meg_task/A2006-1-MEG-MOUS-Aud.log,1,sub-A2006/meg/sub-A2006_task-auditory_meg.ds,2006,auditory
108,sourcedata/meg_task/A2007-1-MEG-MOUS-Aud.log,1,sub-A2007/meg/sub-A2007_task-auditory_meg.ds,2007,auditory
109,sourcedata/meg_task/A2008-2-MEG-MOUS-Aud.log,2,sub-A2008/meg/sub-A2008_task-auditory_meg.ds,2008,auditory
110,sourcedata/meg_task/A2009-1-MEG-MOUS-Aud.log,1,sub-A2009/meg/sub-A2009_task-auditory_meg.ds,2009,auditory
111,sourcedata/meg_task/A2010-4-MEG-MOUS-Aud.log,4,sub-A2010/meg/sub-A2010_task-auditory_meg.ds,2010,auditory
112,sourcedata/meg_task/A2011-5-MEG-MOUS-Aud.log,5,sub-A2011/meg/sub-A2011_task-auditory_meg.ds,2011,auditory
113,sourcedata/meg_task/A2013-1-MEG-MOUS-Aud.log,1,sub-A2013/meg/sub-A2013_task-auditory_meg.ds,2013,auditory
114,sourcedata/meg_task/A2014-2-MEG-MOUS-Aud.log,2,sub-A2014/meg/sub-A2014_task-auditory_meg.ds,2014,auditory
115,sourcedata/meg_task/A2015-3-MEG-MOUS-Aud.log,3,sub-A2015/meg/sub-A2015_task-auditory_meg.ds,2015,auditory
116,sourcedata/meg_task/A2016-4-MEG-MOUS-Aud.log,4,sub-A2016/meg/sub-A2016_task-auditory_meg.ds,2016,auditory
117,sourcedata/meg_task/A2017-5-MEG-MOUS-Aud.log,5,sub-A2017/meg/sub-A2017_task-auditory_meg.ds,2017,auditory
118,sourcedata/meg_task/A2019-1-MEG-MOUS-Aud.log,1,sub-A2019/meg/sub-A2019_task-auditory_meg.ds,2019,auditory
119,sourcedata/meg_task/A2020-2-MEG-MOUS-Aud.log,2,sub-A2020/meg/sub-A2020_task-auditory_meg.ds,2020,auditory
120,sourcedata/meg_task/A2021-3-MEG-MOUS-Aud.log,3,sub-A2021/meg/sub-A2021_task-auditory_meg.ds,2021,auditory
121,sourcedata/meg_task/A2024-6-MEG-MOUS-Aud.log,6,sub-A2024/meg/sub-A2024_task-auditory_meg.ds,2024,auditory
122,sourcedata/meg_task/A2025-1-MEG-MOUS-Aud.log,1,sub-A2025/meg/sub-A2025_task-auditory_meg.ds,2025,auditory
123,sourcedata/meg_task/A2027-3-MEG-MOUS-Aud.log,3,sub-A2027/meg/sub-A2027_task-auditory_meg.ds,2027,auditory
124,sourcedata/meg_task/A2028-4-MEG-MOUS-Aud.log,4,sub-A2028/meg/sub-A2028_task-auditory_meg.ds,2028,auditory
125,sourcedata/meg_task/A2029-5-MEG-MOUS-Aud.log,5,sub-A2029/meg/sub-A2029_task-auditory_meg.ds,2029,auditory
126,sourcedata/meg_task/A2030-6-MEG-MOUS-Aud.log,6,sub-A2030/meg/sub-A2030_task-auditory_meg.ds,2030,auditory
127,sourcedata/meg_task/A2031-3-MEG-MOUS-Aud.log,3,sub-A2031/meg/sub-A2031_task-auditory_meg.ds,2031,auditory
128,sourcedata/meg_task/A2032-2-MEG-MOUS-Aud.log,2,sub-A2032/meg/sub-A2032_task-auditory_meg.ds,2032,auditory
129,sourcedata/meg_task/A2033-3-MEG-MOUS-Aud.log,3,sub-A2033/meg/sub-A2033_task-auditory_meg.ds,2033,auditory
130,sourcedata/meg_task/A2034-4-MEG-MOUS-Aud.log,4,sub-A2034/meg/sub-A2034_task-auditory_meg.ds,2034,auditory
131,sourcedata/meg_task/A2035-5-MEG-MOUS-Aud.log,5,sub-A2035/meg/sub-A2035_task-auditory_meg.ds,2035,auditory
132,sourcedata/meg_task/A2036-2-MEG-MOUS-Aud.log,2,sub-A2036/meg/sub-A2036_task-auditory_meg.ds,2036,auditory
133,sourcedata/meg_task/A2036-4-MEG-MOUS-Aud.log,4,sub-A2036/meg/sub-A2036_task-auditory_meg.ds,2036,auditory
134,sourcedata/meg_task/A2037-1-MEG-MOUS-Aud.log,1,sub-A2037/meg/sub-A2037_task-auditory_meg.ds,2037,auditory
135,sourcedata/meg_task/A2038-2-MEG-MOUS-Aud.log,2,sub-A2038/meg/sub-A2038_task-auditory_meg.ds,2038,auditory
136,sourcedata/meg_task/A2039-3-MEG-MOUS-Aud.log,3,sub-A2039/meg/sub-A2039_task-auditory_meg.ds,2039,auditory
